and,13329203329
a,9512111345
as,3333204478
are,2251679459
at,1918329861
an,1673385167
all,1117617970
about,710643344
also,698356003
any,504952234
after,461775179
another,265333132
against,220067909
american,213136186
again,186554354
although,179189247
among,177372776
around,171337595
al,169873319
always,165368512
area,149190721
away,147261608
above,139836621
act,138546190
analysis,134951399
am,130660389
age,126033874
action,122729699
almost,118982197
asked,118037570
along,116355195
available,113461747
able,113207677
already,112397283
air,104547269
according,101573986
areas,99792304
approach,99452859
art,98168964
activity,90110005
across,87591152
account,86656065
activities,84611688
america,84069778
amount,80636872
anything,79192876
associated,77944378
addition,77586025
attention,76362499
average,68007181
application,67978914
alone,67179250
association,66901330
answer,66110153
actually,64057345
appropriate,63189644
ask,62809063
access,62603566
appear,62248993
authority,62057009
added,59571175
army,59107627
ability,58055817
applied,56744650
appears,55992859
author,54886453
administration,54653013
additional,54370559
active,53935062
agreement,53338607
article,52767853
allow,51911396
april,50328604
address,49299229
african,48155880
add,48152256
attempt,47868121
allowed,47712969
actual,47578013
aspects,46282093
appeared,45677740
arms,45237836
africa,45179411
actions,45094128
august,44385222
argument,42299327
ago,42169826
animals,41932244
annual,41878074
avoid,41512565
alternative,41200967
assessment,40566089
anyone,39858109
acid,39628279
accepted,38240104
americans,38239952
apply,38077207
attack,37248580
animal,36943471
ancient,36536268
agency,36419431
aid,36364410
applications,36126696
accept,36059630
acts,35795408
anti,35599782
aware,35090003
advantage,34982996
agreed,34801095
affairs,34733146
agent,33034642
agricultural,32773748
academic,32591164
absence,32319117
arrived,32216035
affect,31724095
arm,31615138
adult,31398670
affected,31295256
appearance,31284175
allows,31140041
accounts,31030179
assume,31007428
assistance,30876918
assumed,30546865
achieve,30238861
agents,29963495
advanced,29689622
attitude,29620530
audience,29607790
achieved,29307491
approximately,29302415
apparently,29247245
authors,28783948
apart,28727775
adopted,28340872
approaches,28215844
argued,28204498
aspect,27326011
assembly,26987754
apparent,26933633
articles,26595006
arts,26359648
authorities,26332413
attempts,26299278
agree,25516666
assets,25496783
asia,25455240
